,Company,Metric,FY,Value
306,IBM,Total Debt,FY18,106452000.0
307,IBM,Total Debt,FY17,107631000.0
308,IBM,Total Debt,FY16,99078000.0
309,IBM,Total Debt,FY15,96071000.0
310,IBM,Long Term Debt,FY18,35681000.0
311,IBM,Long Term Debt,FY17,39871000.0
312,IBM,Long Term Debt,FY16,34663000.0
313,IBM,Long Term Debt,FY15,33431000.0
314,IBM,Equity,FY18,16796000.0
315,IBM,Equity,FY17,17594000.0
316,IBM,Equity,FY16,18246000.0
317,IBM,Equity,FY15,14262000.0
